scenario,p_overlap,corr_type,instance_file,n,obj_value,runtime
scenario 1,p_20,correlated,scen_1id_10_objs_1000_size_1550_sets_89_k_18_overlap_20_correlated.txt,1000,2602.0,0.06
scenario 1,p_20,correlated,scen_1id_10_objs_300_size_465_sets_77_k_20_overlap_20_correlated.txt,300,1205.0,0.02
scenario 1,p_20,correlated,scen_1id_10_objs_500_size_775_sets_83_k_20_overlap_20_correlated.txt,500,1755.0,0.01
scenario 1,p_20,correlated,scen_1id_10_objs_700_size_1085_sets_91_k_20_overlap_20_correlated.txt,700,2175.0,0.01
scenario 1,p_20,correlated,scen_1id_10_objs_800_size_1240_sets_94_k_18_overlap_20_correlated.txt,800,2342.0,0.01
scenario 1,p_20,correlated,scen_1id_1_objs_1000_size_1550_sets_89_k_18_overlap_20_correlated.txt,1000,2602.0,0.01
scenario 1,p_20,correlated,scen_1id_1_objs_300_size_465_sets_74_k_20_overlap_20_correlated.txt,300,1148.0,0.01
scenario 1,p_20,correlated,scen_1id_1_objs_500_size_775_sets_78_k_20_overlap_20_correlated.txt,500,1705.0,0.01
scenario 1,p_20,correlated,scen_1id_1_objs_700_size_1085_sets_82_k_20_overlap_20_correlated.txt,700,2085.0,0.01
scenario 1,p_20,correlated,scen_1id_1_objs_800_size_1240_sets_93_k_18_overlap_20_correlated.txt,800,2312.0,0.01
scenario 1,p_20,correlated,scen_1id_2_objs_1000_size_1550_sets_96_k_18_overlap_20_correlated.txt,1000,2662.0,0.01
scenario 1,p_20,correlated,scen_1id_2_objs_300_size_465_sets_79_k_20_overlap_20_correlated.txt,300,1212.0,0.01
scenario 1,p_20,correlated,scen_1id_2_objs_500_size_775_sets_83_k_20_overlap_20_correlated.txt,500,1748.0,0.01
scenario 1,p_20,correlated,scen_1id_2_objs_700_size_1085_sets_102_k_20_overlap_20_correlated.txt,700,2277.0,0.01
scenario 1,p_20,correlated,scen_1id_2_objs_800_size_1240_sets_100_k_18_overlap_20_correlated.txt,800,2402.0,0.01
scenario 1,p_20,correlated,scen_1id_3_objs_1000_size_1550_sets_89_k_18_overlap_20_correlated.txt,1000,2592.0,0.01
scenario 1,p_20,correlated,scen_1id_3_objs_300_size_465_sets_76_k_20_overlap_20_correlated.txt,300,1174.0,0.01
scenario 1,p_20,correlated,scen_1id_3_objs_500_size_775_sets_84_k_20_overlap_20_correlated.txt,500,1766.0,0.01
scenario 1,p_20,correlated,scen_1id_3_objs_700_size_1085_sets_86_k_20_overlap_20_correlated.txt,700,2112.0,0.01
scenario 1,p_20,correlated,scen_1id_3_objs_800_size_1240_sets_92_k_18_overlap_20_correlated.txt,800,2304.0,0.01
scenario 1,p_20,correlated,scen_1id_4_objs_1000_size_1550_sets_90_k_18_overlap_20_correlated.txt,1000,2602.0,0.01
scenario 1,p_20,correlated,scen_1id_4_objs_300_size_465_sets_78_k_20_overlap_20_correlated.txt,300,1155.0,0.01
scenario 1,p_20,correlated,scen_1id_4_objs_500_size_775_sets_81_k_20_overlap_20_correlated.txt,500,1718.0,0.00
scenario 1,p_20,correlated,scen_1id_4_objs_700_size_1085_sets_82_k_20_overlap_20_correlated.txt,700,2085.0,0.01
scenario 1,p_20,correlated,scen_1id_4_objs_800_size_1240_sets_99_k_18_overlap_20_correlated.txt,800,2372.0,0.01
scenario 1,p_20,correlated,scen_1id_5_objs_1000_size_1550_sets_84_k_18_overlap_20_correlated.txt,1000,2540.0,0.01
scenario 1,p_20,correlated,scen_1id_5_objs_300_size_465_sets_75_k_20_overlap_20_correlated.txt,300,1147.0,0.00
