filename;scenario;type;n;instance;dp_obj;dp_time;gurobi_obj;gurobi_time;obj_match
kpdwfs_sc1_id10_n1000_b1550_sets89_k288_correlated.txt;1;C;1000;10;3621,00;14,1309;3621,00;0,1057;True
kpdwfs_sc1_id10_n300_b465_sets77_k320_correlated.txt;1;C;300;10;1356,00;0,4044;1356,00;0,5615;True
kpdwfs_sc1_id10_n500_b775_sets83_k320_correlated.txt;1;C;500;10;2135,00;1,8947;2135,00;0,0701;True
kpdwfs_sc1_id10_n700_b1085_sets91_k320_correlated.txt;1;C;700;10;2945,00;6,0943;2945,00;0,0701;True
kpdwfs_sc1_id10_n800_b1240_sets94_k288_correlated.txt;1;C;800;10;3266,00;7,4303;3266,00;0,0744;True
kpdwfs_sc1_id1_n1000_b1550_sets89_k288_correlated.txt;1;C;1000;1;3736,00;18,0093;3736,00;0,1366;True
kpdwfs_sc1_id1_n300_b465_sets74_k320_correlated.txt;1;C;300;1;1249,00;0,4388;1249,00;0,0203;True
kpdwfs_sc1_id1_n500_b775_sets78_k320_correlated.txt;1;C;500;1;2132,00;2,4304;2132,00;0,0460;True
kpdwfs_sc1_id1_n700_b1085_sets82_k320_correlated.txt;1;C;700;1;2803,00;5,1834;2803,00;0,0740;True
kpdwfs_sc1_id1_n800_b1240_sets93_k288_correlated.txt;1;C;800;1;3221,00;6,7262;3221,00;0,1390;True
kpdwfs_sc1_id2_n1000_b1550_sets96_k288_correlated.txt;1;C;1000;2;3559,00;18,0837;3559,00;0,1614;True
kpdwfs_sc1_id2_n300_b465_sets79_k320_correlated.txt;1;C;300;2;1365,00;0,4598;1365,00;0,0230;True
kpdwfs_sc1_id2_n500_b775_sets83_k320_correlated.txt;1;C;500;2;2182,00;2,1604;2182,00;0,0845;True
kpdwfs_sc1_id2_n700_b1085_sets102_k320_correlated.txt;1;C;700;2;2863,00;5,0491;2863,00;0,0972;True
kpdwfs_sc1_id2_n800_b1240_sets100_k288_correlated.txt;1;C;800;2;3252,00;5,5112;3252,00;0,0803;True
kpdwfs_sc1_id3_n1000_b1550_sets89_k288_correlated.txt;1;C;1000;3;3731,00;14,3630;3731,00;0,1230;True
kpdwfs_sc1_id3_n300_b465_sets76_k320_correlated.txt;1;C;300;3;1331,00;0,3990;1331,00;0,0433;True
kpdwfs_sc1_id3_n500_b775_sets84_k320_correlated.txt;1;C;500;3;2128,00;1,8835;2128,00;0,0443;True
kpdwfs_sc1_id3_n700_b1085_sets86_k320_correlated.txt;1;C;700;3;2927,00;5,0671;2927,00;0,0860;True
kpdwfs_sc1_id3_n800_b1240_sets92_k288_correlated.txt;1;C;800;3;3204,00;5,9440;3204,00;0,1132;True
kpdwfs_sc1_id4_n1000_b1550_sets90_k288_correlated.txt;1;C;1000;4;3735,00;16,3463;3735,00;0,1050;True
kpdwfs_sc1_id4_n300_b465_sets78_k320_correlated.txt;1;C;300;4;1262,00;0,4257;1262,00;0,0244;True
kpdwfs_sc1_id4_n500_b775_sets81_k320_correlated.txt;1;C;500;4;2171,00;2,0874;2171,00;0,0832;True
kpdwfs_sc1_id4_n700_b1085_sets82_k320_correlated.txt;1;C;700;4;2873,00;5,7545;2873,00;0,0585;True
kpdwfs_sc1_id4_n800_b1240_sets99_k288_correlated.txt;1;C;800;4;3322,00;5,7111;3322,00;0,0880;True
kpdwfs_sc1_id5_n1000_b1550_sets84_k288_correlated.txt;1;C;1000;5;3458,00;16,0500;3458,00;0,0949;True
kpdwfs_sc1_id5_n300_b465_sets75_k320_correlated.txt;1;C;300;5;1291,00;0,5452;1291,00;0,0359;True
kpdwfs_sc1_id5_n500_b775_sets83_k320_correlated.txt;1;C;500;5;2289,00;2,2959;2289,00;0,0611;True
kpdwfs_sc1_id5_n700_b1085_sets80_k320_correlated.txt;1;C;700;5;2821,00;5,4625;2821,00;0,1025;True
kpdwfs_sc1_id5_n800_b1240_sets91_k288_correlated.txt;1;C;800;5;3065,00;6,4745;3065,00;0,0544;True
