event;runtime_s;obj;bound;gap_pct;node_count
incumbent;0.002;2710.0;1,00E+100;;
incumbent;0.012;4593.0;4633.0;0.8708904855214268;
incumbent;0.014;4597.0;4633.0;0.783119425712404;
incumbent;0.016;4620.0;4633.0;0.2813852813852753;
root_lp;0.026;;4627.0;;
root_lp;0.027;;4627.0;;
incumbent;0.032;4620.0;4627.0;0.15151515151514824;
incumbent;0.032;4597.0;4627.0;0.6525995214270035;
incumbent;0.032;4593.0;4627.0;0.7402569126932127;
root_lp;0.042;;4627.0;;
root_lp;0.048;;4626.0;;
root_lp;0.058;;4625.0;;
root_lp;0.068;;4625.0;;
root_lp;0.07;;4625.0;;
root_lp;0.071;;4625.0;;
root_lp;0.104;;4625.0;;
root_lp;0.111;;4625.0;;
root_lp;0.117;;4625.0;;
root_lp;0.127;;4625.0;;
root_lp;0.127;;4625.0;;
root_lp;0.151;;4625.0;;
incumbent;1.419;4620.0;4623.0;0.06493506493506353;
incumbent;1.42;4597.0;4623.0;0.565586251903403;
incumbent;1.42;4593.0;4623.0;0.6531678641410701;
progress;3.0;4620.0;4621.0;0.021645021645021176;79684
progress;6.0;4620.0;4621.0;0.021645021645021176;249976
progress;9.016;4620.0;4621.0;0.021645021645021176;394933
progress;12.016;4620.0;4621.0;0.021645021645021176;536266
progress;15.061;4620.0;4621.0;0.021645021645021176;645770
progress;18.094;4620.0;4621.0;0.021645021645021176;774784
progress;21.094;4620.0;4621.0;0.021645021645021176;889114
progress;24.143;4620.0;4621.0;0.021645021645021176;1002774
progress;27.161;4620.0;4621.0;0.021645021645021176;1127407
progress;30.182;4620.0;4621.0;0.021645021645021176;1244287
progress;33.182;4620.0;4621.0;0.021645021645021176;1390765
progress;36.182;4620.0;4621.0;0.021645021645021176;1537179
progress;39.182;4620.0;4621.0;0.021645021645021176;1690960
progress;42.196;4620.0;4621.0;0.021645021645021176;1804971
progress;45.196;4620.0;4621.0;0.021645021645021176;1933843
progress;48.196;4620.0;4621.0;0.021645021645021176;2054856
progress;51.237;4620.0;4621.0;0.021645021645021176;2183691
progress;54.237;4620.0;4621.0;0.021645021645021176;2319228
progress;57.237;4620.0;4621.0;0.021645021645021176;2449603
progress;60.251;4620.0;4621.0;0.021645021645021176;2575307
incumbent;61.325;4620.0;4620.0;0.0;
