event,runtime_s,obj,bound,gap_pct,node_count
incumbent,0.006,1885.0,1e+100,,
incumbent,0.045,3241.0,3316.0,2.314100586238744,
incumbent,0.047,3276.0,3316.0,1.2210012210011838,
incumbent,0.048,3286.0,3316.0,0.9129640900790957,
incumbent,0.058,3301.0,3316.0,0.4544077552256754,
incumbent,0.058,3302.0,3316.0,0.4239854633555293,
root_lp,0.06,,3314.0,,
root_lp,0.061,,3307.0,,
incumbent,0.064,3296.0,3307.0,0.33373786407765976,
root_lp,0.084,,3307.0,,
root_lp,0.096,,3306.0,,
root_lp,0.1,,3306.0,,
root_lp,0.101,,3306.0,,
incumbent,0.11,3302.0,3306.0,0.1211387038158655,
incumbent,0.111,3295.0,3306.0,0.33383915022760746,
root_lp,0.118,,3306.0,,
root_lp,0.123,,3306.0,,
root_lp,0.127,,3306.0,,
root_lp,0.131,,3306.0,,
root_lp,0.132,,3306.0,,
root_lp,0.136,,3306.0,,
progress,3.032,3302.0,3304.0,0.06056935190793275,121236
progress,6.061,3302.0,3304.0,0.06056935190793275,322155
progress,9.061,3302.0,3303.0,0.030284675953966375,509414
progress,12.085,3302.0,3303.0,0.030284675953966375,690118
progress,15.118,3302.0,3303.0,0.030284675953966375,856217
progress,18.118,3302.0,3303.0,0.030284675953966375,1015518
incumbent,20.577,3302.0,3302.0,0.0,
