event,runtime_s,obj,bound,gap_pct,node_count
incumbent,0.005,1815.0,1e+100,,
incumbent,0.041,3245.0,3277.0,0.9861325115562101,
incumbent,0.043,3255.0,3277.0,0.6758832565283971,
incumbent,0.044,3256.0,3277.0,0.6449631449631251,
incumbent,0.044,3263.0,3277.0,0.4290530186944398,
incumbent,0.046,3265.0,3277.0,0.36753445635527204,
root_lp,0.058,,3275.0,,
root_lp,0.059,,3272.0,,
incumbent,0.061,3265.0,3272.0,0.21439509954057534,
incumbent,0.062,3263.0,3272.0,0.2758197977321399,
incumbent,0.062,3256.0,3272.0,0.4914004914004763,
root_lp,0.069,,3272.0,,
root_lp,0.077,,3272.0,,
root_lp,0.085,,3272.0,,
root_lp,0.1,,3272.0,,
root_lp,0.101,,3272.0,,
root_lp,0.12,,3272.0,,
root_lp,0.124,,3272.0,,
root_lp,0.127,,3272.0,,
root_lp,0.137,,3272.0,,
root_lp,0.138,,3272.0,,
root_lp,0.138,,3272.0,,
root_lp,0.147,,3272.0,,
progress,3.032,3265.0,3269.0,0.12251148545175734,133220
progress,6.045,3265.0,3268.0,0.09188361408881801,332866
progress,9.045,3265.0,3268.0,0.09188361408881801,533980
progress,12.045,3265.0,3268.0,0.09188361408881801,719955
progress,15.09,3265.0,3268.0,0.09188361408881801,902169
progress,18.11,3265.0,3268.0,0.09188361408881801,1063979
progress,21.157,3265.0,3268.0,0.09188361408881801,1240209
progress,24.157,3265.0,3268.0,0.09188361408881801,1412941
progress,27.166,3265.0,3267.0,0.06125574272587867,1587969
progress,30.18,3265.0,3267.0,0.06125574272587867,1765853
progress,33.18,3265.0,3267.0,0.06125574272587867,1925461
progress,36.181,3265.0,3267.0,0.06125574272587867,2104351
progress,39.212,3265.0,3267.0,0.06125574272587867,2292042
progress,42.225,3265.0,3267.0,0.06125574272587867,2447293
progress,45.225,3265.0,3267.0,0.06125574272587867,2609141
progress,48.24,3265.0,3267.0,0.06125574272587867,2744137
progress,51.24,3265.0,3267.0,0.06125574272587867,2862518
progress,54.26,3265.0,3267.0,0.06125574272587867,3007543
progress,57.268,3265.0,3266.0,0.030627871362939336,3176261
progress,60.392,3265.0,3266.0,0.030627871362939336,3327259
progress,63.393,3265.0,3266.0,0.030627871362939336,3487829
incumbent,66.252,3265.0,3265.0,0.0,
