corr_type,instance_file,obj_value,runtime
correlated,id_10_objs_1000_size_1550_sets_89_maxNumConflicts_20_maxCost_20_correlated.txt,4257.0,7.70
correlated,id_10_objs_300_size_465_sets_77_maxNumConflicts_6_maxCost_20_correlated.txt,1355.0,0.07
correlated,id_10_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,2137.0,0.46
correlated,id_10_objs_700_size_1085_sets_91_maxNumConflicts_14_maxCost_20_correlated.txt,3019.0,1.96
correlated,id_10_objs_800_size_1240_sets_94_maxNumConflicts_16_maxCost_20_correlated.txt,3550.0,3.05
correlated,id_1_objs_1000_size_1550_sets_89_maxNumConflicts_20_maxCost_20_correlated.txt,4424.0,8.38
correlated,id_1_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_20_correlated.txt,1228.0,0.12
correlated,id_1_objs_500_size_775_sets_78_maxNumConflicts_10_maxCost_20_correlated.txt,2165.0,0.45
correlated,id_1_objs_700_size_1085_sets_82_maxNumConflicts_14_maxCost_20_correlated.txt,3055.0,1.78
correlated,id_1_objs_800_size_1240_sets_93_maxNumConflicts_16_maxCost_20_correlated.txt,3420.0,3.36
correlated,id_2_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_20_correlated.txt,4279.0,7.26
correlated,id_2_objs_300_size_465_sets_79_maxNumConflicts_6_maxCost_20_correlated.txt,1379.0,0.06
correlated,id_2_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,2230.0,0.45
correlated,id_2_objs_700_size_1085_sets_102_maxNumConflicts_14_maxCost_20_correlated.txt,2992.0,1.68
correlated,id_2_objs_800_size_1240_sets_100_maxNumConflicts_16_maxCost_20_correlated.txt,3499.0,3.07
correlated,id_3_objs_1000_size_1550_sets_89_maxNumConflicts_20_maxCost_20_correlated.txt,4434.0,7.85
correlated,id_3_objs_300_size_465_sets_76_maxNumConflicts_6_maxCost_20_correlated.txt,1305.0,0.06
correlated,id_3_objs_500_size_775_sets_84_maxNumConflicts_10_maxCost_20_correlated.txt,2188.0,0.42
correlated,id_3_objs_700_size_1085_sets_86_maxNumConflicts_14_maxCost_19_correlated.txt,3056.0,2.08
correlated,id_3_objs_800_size_1240_sets_92_maxNumConflicts_16_maxCost_19_correlated.txt,3525.0,3.20
correlated,id_4_objs_1000_size_1550_sets_90_maxNumConflicts_20_maxCost_20_correlated.txt,4424.0,8.56
correlated,id_4_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_correlated.txt,1287.0,0.09
correlated,id_4_objs_500_size_775_sets_81_maxNumConflicts_10_maxCost_20_correlated.txt,2220.0,0.45
correlated,id_4_objs_700_size_1085_sets_82_maxNumConflicts_14_maxCost_20_correlated.txt,3057.0,1.98
correlated,id_4_objs_800_size_1240_sets_99_maxNumConflicts_16_maxCost_20_correlated.txt,3586.0,3.38
