corr_type,instance_file,status,obj_value,mip_gap,runtime,n_items_selected,total_violations
correlated,id_10_objs_1000_size_1550_sets_89_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4257.0,0.00e+00,0.05,277,21.0000
correlated,id_10_objs_300_size_465_sets_77_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1355.0,0.00e+00,0.03,90,2.0000
correlated,id_10_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2137.0,0.00e+00,0.00,137,2.0000
correlated,id_10_objs_700_size_1085_sets_91_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,3019.0,0.00e+00,0.01,196,7.0000
correlated,id_10_objs_800_size_1240_sets_94_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3550.0,0.00e+00,0.01,232,4.0000
correlated,id_1_objs_1000_size_1550_sets_89_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4424.0,0.00e+00,0.01,292,14.0000
correlated,id_1_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1228.0,0.00e+00,0.01,77,1.0000
correlated,id_1_objs_500_size_775_sets_78_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2165.0,0.00e+00,0.01,140,3.0000
correlated,id_1_objs_700_size_1085_sets_82_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,3055.0,0.00e+00,0.01,198,5.0000
correlated,id_1_objs_800_size_1240_sets_93_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3420.0,0.00e+00,0.01,220,11.0000
correlated,id_2_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4279.0,0.00e+00,0.02,276,11.0000
correlated,id_2_objs_300_size_465_sets_79_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1379.0,0.00e+00,0.01,92,2.0000
correlated,id_2_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2230.0,0.00e+00,0.01,147,4.0000
correlated,id_2_objs_700_size_1085_sets_102_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,2992.0,0.00e+00,0.01,192,5.0000
correlated,id_2_objs_800_size_1240_sets_100_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3499.0,0.00e+00,0.01,230,15.0000
correlated,id_3_objs_1000_size_1550_sets_89_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4434.0,0.00e+00,0.01,293,16.0000
correlated,id_3_objs_300_size_465_sets_76_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1305.0,0.00e+00,0.03,84,0.0000
correlated,id_3_objs_500_size_775_sets_84_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2188.0,0.00e+00,0.02,142,1.0000
correlated,id_3_objs_700_size_1085_sets_86_maxNumConflicts_14_maxCost_19_correlated.txt,optimal,3056.0,0.00e+00,0.01,198,4.0000
correlated,id_3_objs_800_size_1240_sets_92_maxNumConflicts_16_maxCost_19_correlated.txt,optimal,3525.0,0.00e+00,0.01,231,11.0000
correlated,id_4_objs_1000_size_1550_sets_90_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4424.0,0.00e+00,0.01,290,14.0000
correlated,id_4_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1287.0,0.00e+00,0.01,83,4.0000
correlated,id_4_objs_500_size_775_sets_81_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2220.0,0.00e+00,0.03,145,3.0000
correlated,id_4_objs_700_size_1085_sets_82_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,3057.0,0.00e+00,0.01,201,18.0000
correlated,id_4_objs_800_size_1240_sets_99_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3586.0,0.00e+00,0.01,238,11.0000
correlated,id_5_objs_1000_size_1550_sets_84_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4445.0,0.00e+00,0.01,292,9.0000
correlated,id_5_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1290.0,0.00e+00,0.01,84,6.0000
correlated,id_5_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2294.0,0.00e+00,0.01,153,5.0000
correlated,id_5_objs_700_size_1085_sets_80_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,2992.0,0.00e+00,0.01,193,9.0000
correlated,id_5_objs_800_size_1240_sets_91_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3332.0,0.00e+00,0.02,211,4.0000
correlated,id_6_objs_1000_size_1550_sets_91_maxNumConflicts_20_maxCost_19_correlated.txt,optimal,4412.0,0.00e+00,0.01,290,22.0000
correlated,id_6_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1259.0,0.00e+00,0.01,81,4.0000
correlated,id_6_objs_500_size_775_sets_87_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2113.0,0.00e+00,0.01,134,2.0000
correlated,id_6_objs_700_size_1085_sets_92_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,3001.0,0.00e+00,0.01,194,6.0000
correlated,id_6_objs_800_size_1240_sets_87_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3486.0,0.00e+00,0.01,226,5.0000
correlated,id_7_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4393.0,0.00e+00,0.01,287,11.0000
correlated,id_7_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1320.0,0.00e+00,0.01,87,6.0000
correlated,id_7_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2159.0,0.00e+00,0.01,139,3.0000
correlated,id_7_objs_700_size_1085_sets_88_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,3142.0,0.00e+00,0.01,210,11.0000
correlated,id_7_objs_800_size_1240_sets_86_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3540.0,0.00e+00,0.01,233,15.0000
correlated,id_8_objs_1000_size_1550_sets_93_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4374.0,0.00e+00,0.01,286,11.0000
correlated,id_8_objs_300_size_465_sets_76_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1361.0,0.00e+00,0.00,90,2.0000
correlated,id_8_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2281.0,0.00e+00,0.01,154,12.0000
correlated,id_8_objs_700_size_1085_sets_88_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,2931.0,0.00e+00,0.01,190,17.0000
correlated,id_8_objs_800_size_1240_sets_81_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3504.0,0.00e+00,0.01,229,9.0000
correlated,id_9_objs_1000_size_1550_sets_85_maxNumConflicts_20_maxCost_20_correlated.txt,optimal,4300.0,0.00e+00,0.01,278,11.0000
correlated,id_9_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_20_correlated.txt,optimal,1253.0,0.00e+00,0.01,80,3.0000
correlated,id_9_objs_500_size_775_sets_82_maxNumConflicts_10_maxCost_20_correlated.txt,optimal,2081.0,0.00e+00,0.01,135,11.0000
correlated,id_9_objs_700_size_1085_sets_90_maxNumConflicts_14_maxCost_20_correlated.txt,optimal,3125.0,0.00e+00,0.01,206,8.0000
correlated,id_9_objs_800_size_1240_sets_96_maxNumConflicts_16_maxCost_20_correlated.txt,optimal,3514.0,0.00e+00,0.02,229,6.0000
fully-correlated,id_10_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_19_fully-correlated.txt,optimal,4401.0,0.00e+00,0.01,292,18.0000
fully-correlated,id_10_objs_300_size_465_sets_73_maxNumConflicts_6_maxCost_26_fully-correlated.txt,optimal,1297.0,0.00e+00,0.01,84,2.0000
fully-correlated,id_10_objs_500_size_775_sets_79_maxNumConflicts_10_maxCost_23_fully-correlated.txt,optimal,2106.0,0.00e+00,0.01,136,5.0000
fully-correlated,id_10_objs_700_size_1085_sets_82_maxNumConflicts_14_maxCost_22_fully-correlated.txt,optimal,3094.0,0.00e+00,0.01,209,24.0000
fully-correlated,id_10_objs_800_size_1240_sets_93_maxNumConflicts_16_maxCost_27_fully-correlated.txt,optimal,3452.0,0.00e+00,0.01,226,13.0000
fully-correlated,id_1_objs_1000_size_1550_sets_88_maxNumConflicts_20_maxCost_22_fully-correlated.txt,optimal,4428.0,0.00e+00,0.01,296,20.0000
fully-correlated,id_1_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_29_fully-correlated.txt,optimal,1244.0,0.00e+00,0.01,81,6.0000
fully-correlated,id_1_objs_500_size_775_sets_87_maxNumConflicts_10_maxCost_24_fully-correlated.txt,optimal,2208.0,0.00e+00,0.01,146,4.0000
fully-correlated,id_1_objs_700_size_1085_sets_92_maxNumConflicts_14_maxCost_25_fully-correlated.txt,optimal,3162.0,0.00e+00,0.01,216,20.0000
fully-correlated,id_1_objs_800_size_1240_sets_94_maxNumConflicts_16_maxCost_21_fully-correlated.txt,optimal,3573.0,0.00e+00,0.01,237,9.0000
fully-correlated,id_2_objs_1000_size_1550_sets_85_maxNumConflicts_20_maxCost_18_fully-correlated.txt,optimal,4381.0,0.00e+00,0.01,293,22.0000
fully-correlated,id_2_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_27_fully-correlated.txt,optimal,1340.0,0.00e+00,0.01,89,3.0000
fully-correlated,id_2_objs_500_size_775_sets_85_maxNumConflicts_10_maxCost_25_fully-correlated.txt,optimal,2268.0,0.00e+00,0.01,155,18.0000
fully-correlated,id_2_objs_700_size_1085_sets_84_maxNumConflicts_14_maxCost_21_fully-correlated.txt,optimal,3038.0,0.00e+00,0.01,201,12.0000
fully-correlated,id_2_objs_800_size_1240_sets_81_maxNumConflicts_16_maxCost_19_fully-correlated.txt,optimal,3520.0,0.00e+00,0.01,233,15.0000
fully-correlated,id_3_objs_1000_size_1550_sets_91_maxNumConflicts_20_maxCost_24_fully-correlated.txt,optimal,4565.0,0.00e+00,0.01,310,24.0000
fully-correlated,id_3_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_25_fully-correlated.txt,optimal,1301.0,0.00e+00,0.01,85,2.0000
fully-correlated,id_3_objs_500_size_775_sets_88_maxNumConflicts_10_maxCost_25_fully-correlated.txt,optimal,2162.0,0.00e+00,0.01,141,7.0000
fully-correlated,id_3_objs_700_size_1085_sets_87_maxNumConflicts_14_maxCost_24_fully-correlated.txt,optimal,3058.0,0.00e+00,0.01,200,6.0000
fully-correlated,id_3_objs_800_size_1240_sets_93_maxNumConflicts_16_maxCost_26_fully-correlated.txt,optimal,3482.0,0.00e+00,0.01,231,17.0000
fully-correlated,id_4_objs_1000_size_1550_sets_113_maxNumConflicts_20_maxCost_22_fully-correlated.txt,optimal,4439.0,0.00e+00,0.01,298,26.0000
fully-correlated,id_4_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_25_fully-correlated.txt,optimal,1270.0,0.00e+00,0.01,81,1.0000
fully-correlated,id_4_objs_500_size_775_sets_93_maxNumConflicts_10_maxCost_25_fully-correlated.txt,optimal,2178.0,0.00e+00,0.01,142,3.0000
fully-correlated,id_4_objs_700_size_1085_sets_83_maxNumConflicts_14_maxCost_18_fully-correlated.txt,optimal,3110.0,0.00e+00,0.01,207,9.0000
fully-correlated,id_4_objs_800_size_1240_sets_85_maxNumConflicts_16_maxCost_26_fully-correlated.txt,optimal,3546.0,0.00e+00,0.01,236,13.0000
fully-correlated,id_5_objs_1000_size_1550_sets_99_maxNumConflicts_20_maxCost_20_fully-correlated.txt,optimal,4498.0,0.00e+00,0.01,301,18.0000
fully-correlated,id_5_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_26_fully-correlated.txt,optimal,1310.0,0.00e+00,0.01,86,3.0000
fully-correlated,id_5_objs_500_size_775_sets_79_maxNumConflicts_10_maxCost_26_fully-correlated.txt,optimal,2171.0,0.00e+00,0.01,149,18.0000
fully-correlated,id_5_objs_700_size_1085_sets_92_maxNumConflicts_14_maxCost_24_fully-correlated.txt,optimal,3118.0,0.00e+00,0.01,211,14.0000
fully-correlated,id_5_objs_800_size_1240_sets_86_maxNumConflicts_16_maxCost_21_fully-correlated.txt,optimal,3512.0,0.00e+00,0.01,235,17.0000
fully-correlated,id_6_objs_1000_size_1550_sets_95_maxNumConflicts_20_maxCost_26_fully-correlated.txt,optimal,4334.0,0.00e+00,0.01,289,28.0000
fully-correlated,id_6_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_22_fully-correlated.txt,optimal,1371.0,0.00e+00,0.01,92,2.0000
fully-correlated,id_6_objs_500_size_775_sets_81_maxNumConflicts_10_maxCost_22_fully-correlated.txt,optimal,2218.0,0.00e+00,0.01,151,13.0000
fully-correlated,id_6_objs_700_size_1085_sets_89_maxNumConflicts_14_maxCost_20_fully-correlated.txt,optimal,3083.0,0.00e+00,0.01,205,13.0000
fully-correlated,id_6_objs_800_size_1240_sets_94_maxNumConflicts_16_maxCost_26_fully-correlated.txt,optimal,3447.0,0.00e+00,0.01,224,8.0000
fully-correlated,id_7_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_30_fully-correlated.txt,optimal,4422.0,0.00e+00,0.01,293,12.0000
fully-correlated,id_7_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_26_fully-correlated.txt,optimal,1359.0,0.00e+00,0.01,92,4.0000
fully-correlated,id_7_objs_500_size_775_sets_93_maxNumConflicts_10_maxCost_26_fully-correlated.txt,optimal,2093.0,0.00e+00,0.01,133,3.0000
fully-correlated,id_7_objs_700_size_1085_sets_97_maxNumConflicts_14_maxCost_25_fully-correlated.txt,optimal,3147.0,0.00e+00,0.01,216,23.0000
fully-correlated,id_7_objs_800_size_1240_sets_86_maxNumConflicts_16_maxCost_25_fully-correlated.txt,optimal,3497.0,0.00e+00,0.01,233,17.0000
fully-correlated,id_8_objs_1000_size_1550_sets_94_maxNumConflicts_20_maxCost_26_fully-correlated.txt,optimal,4408.0,0.00e+00,0.01,295,26.0000
fully-correlated,id_8_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_26_fully-correlated.txt,optimal,1295.0,0.00e+00,0.01,84,2.0000
fully-correlated,id_8_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_25_fully-correlated.txt,optimal,2104.0,0.00e+00,0.01,136,5.0000
fully-correlated,id_8_objs_700_size_1085_sets_94_maxNumConflicts_14_maxCost_26_fully-correlated.txt,optimal,3156.0,0.00e+00,0.01,210,6.0000
fully-correlated,id_8_objs_800_size_1240_sets_87_maxNumConflicts_16_maxCost_25_fully-correlated.txt,optimal,3658.0,0.00e+00,0.01,250,20.0000
fully-correlated,id_9_objs_1000_size_1550_sets_91_maxNumConflicts_20_maxCost_19_fully-correlated.txt,optimal,4443.0,0.00e+00,0.01,300,28.0000
fully-correlated,id_9_objs_300_size_465_sets_72_maxNumConflicts_6_maxCost_26_fully-correlated.txt,optimal,1269.0,0.00e+00,0.01,82,3.0000
fully-correlated,id_9_objs_500_size_775_sets_78_maxNumConflicts_10_maxCost_21_fully-correlated.txt,optimal,2072.0,0.00e+00,0.01,132,4.0000
fully-correlated,id_9_objs_700_size_1085_sets_84_maxNumConflicts_14_maxCost_19_fully-correlated.txt,optimal,3062.0,0.00e+00,0.01,204,14.0000
fully-correlated,id_9_objs_800_size_1240_sets_92_maxNumConflicts_16_maxCost_30_fully-correlated.txt,optimal,3433.0,0.00e+00,0.01,224,11.0000
not-correlated,id_10_objs_1000_size_1550_sets_93_maxNumConflicts_20_maxCost_20_not-correlated.txt,optimal,5314.0,0.00e+00,0.01,254,21.0000
not-correlated,id_10_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_not-correlated.txt,optimal,1590.0,0.00e+00,0.00,76,8.0000
not-correlated,id_10_objs_500_size_775_sets_81_maxNumConflicts_10_maxCost_20_not-correlated.txt,optimal,2752.0,0.00e+00,0.00,131,8.0000
not-correlated,id_10_objs_700_size_1085_sets_89_maxNumConflicts_14_maxCost_20_not-correlated.txt,optimal,3665.0,0.00e+00,0.01,175,8.0000
not-correlated,id_10_objs_800_size_1240_sets_84_maxNumConflicts_16_maxCost_20_not-correlated.txt,optimal,4159.0,0.00e+00,0.01,204,19.0000
